rank,acronym,cpu,cpu_race_quarter_weighting,ram,ram_race_quarter_weighting,hydraulic,hydraulic_race_quarter_weighting,chance_guarantee,total_race_quarter_weighting,total_race_weight,avg_race_weight
1,GCM,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.00(1.83),1.825,0.608
2,CCM,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.50(1.30),1.8,0.6
3,GGM,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.00(1.675),1.675,0.558
4,CGM,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.50(1.15),1.65,0.55
5,DCM,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.25/0.00/0.00/0.00(1.30),1.55,0.517
6,MCM,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.16/0.00/0.00(1.30),1.46,0.487
7,GCG,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.38(1.08),1.45,0.483
8,GDM,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.16/0.00/0.00/0.00(1.275),1.435,0.478
9,GMM,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.16(1.275),1.435,0.478
10,CCG,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.88(0.55),1.425,0.475
