Name,Link,Gen,Bloodline,Complete Rating,Speed Rating,Sprint Rating,Endurance Rating,Matchmaking Rating,Latest Odds,Races Ran,Win Percentage,AVG Time,Best Time,Q1 Pos x/8,Q2 Pos x/8,Q3 Pos x/8,Q4 Pos x/8
5 Smile,https://app.zedchampions.com/horse/d4a6b6c2-8d5d-49df-bfea-95df26702bed,32,NAKAMOTO,4.5,4.5,-,-,1077,7.2,8,25%,40.05s,39.38s,3.8,4.4,5.1,3.9
543x,https://app.zedchampions.com/horse/853e8172-00d7-4e52-a85c-d91218328e08,34,NAKAMOTO,4,4.5,-,-,989,3.4,5,20%,40.29s,39.53s,4.6,3.6,4.2,5.2
5th Crown,https://app.zedchampions.com/horse/19bceb83-1d67-467b-81f0-7e391343cdca,32,NAKAMOTO,4.5,5,4,-,1203,4.7,10,30%,39.75s,39.35s,3.5,3.4,2.8,2.5
ABCC,https://app.zedchampions.com/horse/c4b5c000-837b-4dcb-9abc-474dc1b7f826,30,BUTERIN,4,3.5,-,-,997,3.6,5,0%,40.70s,40.06s,6.8,5.6,5.4,3.8
Ah Omus,https://app.zedchampions.com/horse/c40199b8-742f-478e-8737-67b204441669,3,NAKAMOTO,4,4.5,-,-,1012,22,6,0%,40.24s,39.93s,4.7,5.2,3.5,3.5
Alluring Pleated,https://app.zedchampions.com/horse/0728890d-b282-4029-b75b-b1d20162aa25,31,SZABO,4,-,-,-,1017,2.75,4,0%,40.15s,39.79s,5.0,5.8,5.0,3.8
Amus,https://app.zedchampions.com/horse/456c85c0-b5ac-4a59-b923-642e780c8a5b,2,NAKAMOTO,4,4.5,-,-,991,64,6,0%,40.48s,40.30s,6.5,5.2,3.8,3.8
Arby Too,https://app.zedchampions.com/horse/f3599c50-fe2e-4037-b8cb-a79c84c4caa4,34,FINNEY,4,3.5,-,-,1048,3.6,5,20%,40.31s,39.58s,3.0,1.4,2.0,3.4
Attentive Drapery,https://app.zedchampions.com/horse/a7451014-88bc-4b75-92b1-4c9a6fc5052e,1,SZABO,3,-,-,-,986,128,4,0%,40.73s,40.56s,6.0,6.0,4.5,5.0
Baby Duchess,https://app.zedchampions.com/horse/ab9985c3-bbb6-4011-90e5-26aea2fd8332,33,FINNEY,4,4.5,4.5,3,1120,5,15,20%,40.24s,39.19s,5.0,3.6,2.0,3.6
Barpasser,https://app.zedchampions.com/horse/abfaccb3-ca55-449b-b8c3-ff3d711bd7e1,27,FINNEY,3.5,4,3.5,2.5,946,4.2,28,7%,40.55s,39.64s,5.0,6.3,6.5,4.5
Baybeemaykah,https://app.zedchampions.com/horse/126c8c5d-89e3-4843-804f-cde0d1da77ff,29,SZABO,4,4.5,4.5,3,1123,18.5,31,10%,40.21s,39.52s,5.3,5.5,6.4,3.9
Caring Conductor,https://app.zedchampions.com/horse/d6ff17d1-844b-4ff2-a0e4-2b310d3d120b,29,FINNEY,4,4.5,4.5,-,1183,8.8,12,42%,39.81s,38.88s,6.8,5.2,1.7,3.8
Caring Pier,https://app.zedchampions.com/horse/cddf37e6-1354-44b5-8218-79416fce4210,16,NAKAMOTO,3,-,-,-,983,224,4,0%,40.86s,40.63s,2.5,3.0,4.3,4.5
Chaotic 5,https://app.zedchampions.com/horse/a95556f9-f880-4846-bb4d-c8274a20498d,32,NAKAMOTO,4,4,-,-,1122,5.9,7,43%,40.11s,39.67s,4.7,4.7,6.0,3.4
Charming Bolide,https://app.zedchampions.com/horse/9dca0fe2-1937-4933-9a33-0cd0688fd920,0,SZABO,3.5,-,-,-,-,-,0,-,-,-,-,-,-,-
Claw,https://app.zedchampions.com/horse/5658ad85-a2c4-4643-95d8-46e411f22333,32,FINNEY,4,3.5,-,-,1098,9.4,9,22%,40.06s,39.47s,3.4,3.2,3.2,3.3
Coming for Spaghetti,https://app.zedchampions.com/horse/276a2616-4806-4090-a9e0-aa2d7cd72461,29,NAKAMOTO,4,4.5,5,-,1056,3.2,11,27%,40.25s,39.31s,4.5,4.5,5.3,4.5
